id	date	owner_id	from_id	likes	reposts
2524	1714592189	-215804794	35990220	13	0
2523	1714569840	-215804794	-39428534	13	2
2522	1714555465	-215804794	196241794	15	0
2518	1714483440	-215804794	135707462	35	3
2517	1714397040	-215804794	135707462	45	2
2508	1714311780	-215804794	135707462	37	2
2504	1714238040	-215804794	135707462	48	4
2500	1714140900	-215804794	35990220	27	0
2492	1714043220	-215804794	196241794	52	4
2489	1713968640	-215804794	-39428534	16	4
2478	1713888780	-215804794	35990220	57	3
2476	1713792240	-215804794	437096305	56	2
2473	1713708900	-215804794	437096305	35	1
2469	1713619440	-215804794	-39428534	24	4
2465	1713449220	-215804794	346888409	38	0
2461	1713360240	-215804794	437096305	40	2
2457	1713273840	-215804794	-39428534	23	1
2455	1713187440	-215804794	-39428534	17	0
2451	1713101040	-215804794	340690714	37	5
2447	1713028380	-215804794	437096305	28	2
2444	1713006780	-215804794	227432747	27	6
2440	1712930820	-215804794	227432747	43	3
2434	1712740020	-215804794	340690714	30	1
2431	1712674115	-215804794	340690714	52	3
2426	1712412420	-215804794	49798429	30	2
2424	1712322360	-215804794	586924498	28	1
2422	1712237040	-215804794	222308404	38	2
2416	1712208240	-215804794	382138812	41	4
2415	1712196420	-215804794	214723461	47	1
2414	1712192820	-215804794	227432747	43	1
2413	1712189220	-215804794	174927286	46	3
2410	1712185620	-215804794	49798429	40	1
2409	1712182020	-215804794	227432747	58	4
2401	1712160420	-215804794	89889578	32	0
2395	1712150640	-215804794	311405848	55	2
2394	1712066820	-215804794	214723461	21	0
2389	1712001840	-215804794	382138812	41	0
2387	1711998272	-215804794	298153988	34	0
2385	1711994820	-215804794	471818905	42	1
2378	1711980900	-215804794	135707462	43	4
2377	1711970280	-215804794	174927286	46	4
2376	1711963200	-215804794	227432747	59	12
2371	1711906365	-215804794	311405848	42	1
2370	1711891440	-215804794	47785857	54	3
2361	1711805040	-215804794	383498520	44	1
2357	1711750020	-215804794	49798429	66	3
2352	1711634820	-215804794	257034139	66	5
2349	1711438137	-215804794	135707462	60	3
2348	1711412580	-215804794	383498520	37	1
2345	1711326780	-215804794	383498520	50	2
2339	1711278420	-215804794	174927286	34	1
2338	1711241113	-215804794	47785857	33	0
2330	1711199280	-215804794	174927286	77	5
2327	1711134793	-215804794	340690714	31	1
2326	1711132734	-215804794	834640539	46	2
2324	1711130682	-215804794	227432747	41	2
2322	1711125455	-215804794	196241794	36	2
2314	1710677220	-215804794	437096305	57	5
2309	1710584314	-215804794	222308404	36	1
2308	1710425220	-215804794	586924498	43	1
2305	1710166500	-215804794	834640539	327	25
2299	1709907300	-215804794	850284819	75	7
2296	1709636820	-215804794	257034139	51	2
2294	1709577077	-215804794	49798429	33	2
2293	1709411242	-215804794	135707462	69	8
2289	1708708320	-215804794	834640539	45	4
2288	1708696090	-215804794	586924498	28	0
2285	1708524900	-215804794	340690714	37	1
2280	1708431780	-215804794	383498520	28	0
2277	1708352100	-215804794	222308404	48	1
2273	1708265700	-215804794	135707462	79	19
2269	1708161780	-215804794	135707462	36	0
2267	1708089840	-215804794	834640539	37	2
2263	1708006500	-215804794	340690714	32	1
2262	1707917040	-215804794	437096305	53	4
2258	1707815220	-215804794	311405848	36	0
2254	1707405780	-215804794	-215804794	22	1
2243	1707163620	-215804794	49798429	43	4
2238	1706621040	-215804794	-215804794	18	1
2236	1706534640	-215804794	298153988	35	4
2235	1706448240	-215804794	850284819	26	1
2234	1706361840	-215804794	227432747	39	2
2233	1706275440	-215804794	174927286	22	1
2232	1706189040	-215804794	311405848	35	1
2231	1706102640	-215804794	346888409	29	3
2225	1706016240	-215804794	834640539	35	2
2224	1705929840	-215804794	346888409	34	2
2216	1705846500	-215804794	174927286	34	1
2215	1705748820	-215804794	47785857	37	1
2212	1705584240	-215804794	834640539	45	1
2202	1705501440	-215804794	471818905	39	0
2201	1705497840	-215804794	214723461	30	2
2199	1705414500	-215804794	227432747	60	5
2194	1705231440	-215804794	-39428534	15	2
2190	1705140780	-215804794	340690714	34	3
2188	1704885780	-215804794	222308404	30	1
2187	1704806640	-215804794	834640539	62	1
2183	1704709980	-215804794	311405848	38	1
2182	1704706380	-215804794	174927286	40	1
2181	1704636900	-215804794	49798429	45	4
2178	1704550500	-215804794	214723461	46	0
2173	1704460980	-215804794	850284819	21	0
2172	1704360180	-215804794	383498520	31	1
2163	1704288180	-215804794	330063408	26	3
2162	1704284580	-215804794	222308404	56	1
2157	1704201780	-215804794	494137390	23	5
2153	1704107220	-215804794	471818905	68	4
2149	1704025380	-215804794	382138812	53	4
2146	1703959837	-215804794	330063408	28	5
2143	1703946180	-215804794	403624839	43	8
2142	1703942580	-215804794	403624839	31	2
2139	1703938980	-215804794	330063408	20	5
2134	1703852580	-215804794	222308404	37	2
2129	1703766180	-215804794	382138812	50	5
2128	1703686020	-215804794	49798429	50	1
2118	1703614020	-215804794	346888409	43	3
2116	1703600100	-215804794	47785857	69	5
2114	1703588820	-215804794	382138812	63	5
2107	1703527260	-215804794	227432747	64	4
2100	1703523720	-215804794	586924498	42	0
2099	1703520360	-215804794	340690714	39	0
2094	1703516820	-215804794	257034139	49	3
2088	1703513220	-215804794	586924498	63	4
2086	1703509740	-215804794	49798429	71	3
2084	1703506200	-215804794	135707462	98	6
2081	1703502660	-215804794	471818905	74	8
2076	1703499120	-215804794	35990220	84	11
2072	1703495580	-215804794	89889578	78	5
2070	1703427300	-215804794	382138812	64	11
2068	1703416680	-215804794	47785857	55	9
2060	1703344980	-215804794	330063408	23	6
2055	1703334180	-215804794	86140374	24	5
2054	1703323380	-215804794	330063408	28	8
2050	1703251380	-215804794	257034139	46	0
2047	1703164980	-215804794	196241794	58	1
2045	1703081220	-215804794	135707462	56	1
2024	1703010180	-215804794	330063408	27	7
2021	1703006580	-215804794	330063408	28	7
2016	1702999380	-215804794	560344855	524	146
2015	1702991280	-215804794	834640539	81	7
2007	1702891380	-215804794	834640539	36	6
2005	1702843478	-215804794	403624839	18	3
2000	1702822500	-215804794	49798429	54	5
1997	1702757406	-215804794	835051320	29	8
1996	1702757389	-215804794	835051320	28	9
1992	1702747380	-215804794	-39428534	21	3
1989	1702740180	-215804794	330063408	39	3
1986	1702732980	-215804794	362014623	20	2
1984	1702725780	-215804794	330063408	18	4
1982	1702718580	-215804794	-39428534	18	3
1979	1702711380	-215804794	-39428534	17	3
1977	1702642980	-215804794	-215804794	13	1
1968	1702556580	-215804794	346888409	35	0
1958	1702480980	-215804794	850284819	63	4
1957	1702473780	-215804794	89889578	34	1
1954	1702466280	-215804794	346888409	47	2
1951	1702390500	-215804794	214723461	61	3
1950	1702383780	-215804794	-130878465	23	8
1949	1702372980	-215804794	-39428534	29	11
1945	1702311780	-215804794	346888409	42	1
1944	1702308180	-215804794	850284819	62	9
1942	1702303620	-215804794	311405848	41	3
1939	1702293480	-215804794	227432747	41	0
1938	1702286580	-215804794	35990220	51	6
1936	1702282980	-215804794	834640539	53	4
1928	1702232580	-215804794	196241794	43	7
1926	1702229760	-215804794	227432747	48	3
1925	1702228980	-215804794	437096305	45	2
1922	1702225380	-215804794	227432747	35	2
1919	1702221780	-215804794	135707462	40	2
1910	1702217220	-215804794	222308404	33	4
1909	1702213620	-215804794	340690714	20	1
1904	1702192980	-215804794	298153988	38	1
1901	1702160580	-215804794	850284819	34	1
1895	1702160030	-215804794	311405848	34	0
1894	1702158556	-215804794	382138812	41	4
1892	1702155091	-215804794	257034139	35	2
1891	1702130820	-215804794	35990220	34	3
1888	1702099800	-215804794	89889578	51	2
1886	1702073220	-215804794	471818905	35	3
1882	1702044420	-215804794	89889578	65	10
1879	1701958020	-215804794	196241794	24	1
1875	1701871620	-215804794	35990220	30	1
1874	1701858180	-215804794	340690714	39	6
1873	1701800580	-215804794	-39428534	18	1
1872	1701793380	-215804794	382138812	27	1
1871	1701785700	-215804794	383498520	43	3
1869	1701778980	-215804794	383498520	47	3
1867	1701771780	-215804794	437096305	41	0
1865	1701764580	-215804794	340690714	32	2
1863	1701727620	-215804794	382138812	26	1
1855	1701714180	-215804794	135707462	34	1
1854	1701710580	-215804794	137719621	39	4
1849	1701706980	-215804794	340690714	34	5
1847	1701699780	-215804794	137719621	47	4
1844	1701696180	-215804794	311405848	24	1
1838	1701688020	-215804794	850284819	42	8
1835	1701681780	-215804794	437096305	33	2
1831	1701670980	-215804794	47785857	46	5
1826	1701634020	-215804794	174927286	48	2
1820	1701627780	-215804794	35990220	40	4
1817	1701624180	-215804794	49798429	53	1
1813	1701620580	-215804794	49798429	42	9
1809	1701616980	-215804794	311405848	38	3
1808	1701612480	-215804794	382138812	38	4
1800	1701609070	-215804794	89889578	29	0
1792	1701519780	-215804794	383498520	32	0
1790	1701498180	-215804794	49798429	56	6
1787	1701477527	-215804794	834640539	56	10
1786	1701474834	-215804794	-39428534	21	1
1779	1701439620	-215804794	-39428534	16	0
1773	1701360540	-215804794	383498520	64	6
1771	1701350580	-215804794	340690714	43	4
1756	1701256454	-215804794	382138812	55	9
1751	1701180420	-215804794	196241794	38	0
1743	1701080340	-215804794	35990220	61	3
1739	1701073260	-215804794	35990220	59	6
1735	1701008100	-215804794	298153988	53	2
1726	1700921220	-215804794	196241794	50	2
1717	1700852820	-215804794	196241794	46	3
1714	1700831160	-215804794	586924498	43	3
1713	1700662500	-215804794	174927286	30	1
1708	1700576100	-215804794	222308404	40	1
1706	1700500080	-215804794	834640539	40	0
1703	1700400720	-215804794	382138812	36	2
1702	1700327520	-215804794	586924498	36	5
1701	1700316420	-215804794	196241794	49	3
1700	1700309220	-215804794	196241794	48	1
1693	1700255234	-215804794	471818905	52	5
1692	1700253591	-215804794	346888409	37	3
1690	1700227380	-215804794	135707462	33	1
1689	1700143620	-215804794	196241794	33	0
1684	1700057220	-215804794	196241794	21	2
1682	1699973700	-215804794	340690714	32	2
1681	1699971300	-215804794	196241794	36	3
1678	1699884900	-215804794	49798429	32	0
1674	1699798020	-215804794	196241794	13	2
1669	1699711620	-215804794	196241794	14	0
1668	1699625220	-215804794	196241794	13	0
1662	1699538820	-215804794	196241794	61	4
1657	1699452420	-215804794	196241794	32	4
1653	1699366020	-215804794	196241794	44	0
1646	1699276980	-215804794	257034139	39	3
1643	1699193220	-215804794	196241794	26	0
1640	1699108980	-215804794	35990220	29	0
1634	1699016760	-215804794	834640539	29	3
1631	1698925260	-215804794	-215804794	19	4
1625	1698841380	-215804794	437096305	35	4
1613	1698754980	-215804794	298153988	24	2
1607	1698674820	-215804794	196241794	40	0
1602	1698588420	-215804794	196241794	38	2
