20;12.1066;11.0741;22.5354;
26;12.5375;11.1966;19.9942;
33;13.1056;11.6307;21.1875;
42;13.5755;12.2682;20.6845;
54;14.0333;12.6106;20.1745;
70;14.5227;12.9533;20.2443;
91;14.972;13.3031;20.0123;
118;15.4073;13.662;20.8694;
153;15.8334;14.0427;19.8718;
198;16.2303;14.3828;19.8719;
257;16.6303;14.7588;20.4277;
334;17.0278;15.1447;21.2301;
434;17.4193;15.4947;23.0312;
564;17.808;15.9007;22.773;
733;18.1939;16.2397;21.0515;
952;18.5792;16.6221;22.3957;
1237;18.9657;16.9954;19.8333;
1608;19.3413;17.3758;20.0895;
2090;20.4812;17.8383;20.4305;
2717;20.7249;18.1282;21.3607;
3532;21.0713;18.501;20.0101;
4591;21.3081;20.2692;20.6128;
5968;21.5594;22.1706;23.6583;
7758;21.8837;23.3139;20.3137;
10085;22.1967;23.5195;20.4121;
13110;22.5535;23.5652;21.7282;
17043;22.8824;23.6019;21.6697;
22155;23.2316;23.6642;23.9778;
28801;23.6276;23.7351;23.8941;
37441;23.9697;23.8243;24.1957;
48673;24.325;23.9379;24.6634;
63274;24.7213;24.0874;24.6114;
82256;25.0627;24.2466;24.5817;
106932;25.4478;24.4229;24.9479;
139011;25.8179;24.6316;25.4342;
180714;26.1883;24.86;23.9263;
